,X1,X2,X3,X4,X5,X6,X7,X8
X1,0.247,0.026,0.042,-0.007,-0.023,0.017,-0.001,0.138
X2,0.026,0.247,0.053,0.001,0.060,0.038,0.022,0.054
X3,0.042,0.053,0.243,0.020,0.008,0.051,0.014,0.067
X4,-0.007,0.001,0.020,0.250,0.091,0.100,0.039,-0.007
X5,-0.023,0.060,0.008,0.091,0.230,0.041,0.051,-0.023
X6,0.017,0.038,0.051,0.100,0.041,0.250,0.020,0.032
X7,-0.001,0.022,0.014,0.039,0.051,0.020,0.236,-0.011
X8,0.138,0.054,0.067,-0.007,-0.023,0.032,-0.011,0.243
