,X1,X2,X3,X4,X5,X6,X7,X8
X1,1.000,0.137,0.192,-0.064,-0.054,0.007,-0.036,0.610
X2,0.137,1.000,0.236,0.072,0.258,0.231,0.091,0.286
X3,0.192,0.236,1.000,0.139,0.053,0.294,0.031,0.352
X4,-0.064,0.072,0.139,1.000,0.573,0.451,0.191,-0.052
X5,-0.054,0.258,0.053,0.573,1.000,0.239,0.266,-0.048
X6,0.007,0.231,0.294,0.451,0.239,1.000,0.141,0.132
X7,-0.036,0.091,0.031,0.191,0.266,0.141,1.000,0.044
X8,0.610,0.286,0.352,-0.052,-0.048,0.132,0.044,1.000
