,X1,X2,X3,X4,X5,X6,X7,X8
X1,1.000,0.105,0.172,-0.027,-0.096,0.070,-0.004,0.561
X2,0.105,1.000,0.215,0.004,0.253,0.154,0.093,0.222
X3,0.172,0.215,1.000,0.083,0.035,0.209,0.059,0.275
X4,-0.027,0.004,0.083,1.000,0.382,0.401,0.161,-0.030
X5,-0.096,0.253,0.035,0.382,1.000,0.173,0.218,-0.097
X6,0.070,0.154,0.209,0.401,0.173,1.000,0.084,0.129
X7,-0.004,0.093,0.059,0.161,0.218,0.084,1.000,-0.046
X8,0.561,0.222,0.275,-0.030,-0.097,0.129,-0.046,1.000
