,X1,X2,X3,X4,X5,X6,X7,X8
X1,1.000,0.131,0.238,-0.057,-0.115,0.053,-0.045,0.559
X2,0.131,1.000,0.216,0.061,0.248,0.176,0.055,0.234
X3,0.238,0.216,1.000,0.063,-0.013,0.202,0.007,0.335
X4,-0.057,0.061,0.063,1.000,0.429,0.375,0.116,-0.031
X5,-0.115,0.248,-0.013,0.429,1.000,0.169,0.173,-0.081
X6,0.053,0.176,0.202,0.375,0.169,1.000,0.073,0.109
X7,-0.045,0.055,0.007,0.116,0.173,0.073,1.000,-0.005
X8,0.559,0.234,0.335,-0.031,-0.081,0.109,-0.005,1.000
